mlb_ID,seasons_bat,career_PA,avg_offense,total_bat_war,peak_bat_war,seasons_pitch,career_GS,avg_era_plus,total_pitch_war,peak_pitch_war,hof_indicator
118909,3,70,-0.8333333333333334,-0.24,-0.06,3,17,88.41865497076024,1.47,1.24,0
118910,10,1172,2.3666666666666667,2.19,1.08,10,308,97.70832622165669,25.62,10.82,0
118911,4,209,-1.875,-0.24999999999999997,0.45,0,0,0,0,0,0
118912,1,2,-0.3,-0.03,-0.03,1,0,77.475,-0.21,-0.21,0
118913,3,18,-0.13333333333333328,-0.04000000000000001,0.12,3,4,174.74270833333333,0.85,0.55,0
118914,1,296,-4.8,0.03,0.03,0,0,0,0,0,0
118915,4,310,-4.4750000000000005,-1.12,0.29,0,0,0,0,0,0
118916,7,378,-2.2714285714285714,-1.5899999999999999,-0.02,7,132,100.33324587783488,7.67,4.11,0
118917,1,9,0.3,0.07,0.07,0,0,0,0,0,0
118918,2,350,-11.200000000000001,-1.87,-0.08,2,32,88.828431372549,-0.5,-0.13,0
118919,1,2,0.1,0.02,0.02,0,0,0,0,0,0
118920,1,127,-4.6,-0.38,-0.38,0,0,0,0,0,0
118921,2,366,-5,-0.35,0.03,0,0,0,0,0,0
118922,1,7,-0.2,-0.11,-0.11,0,0,0,0,0,0
118923,1,2,0.2,0.03,0.03,0,0,0,0,0,0
118924,1,23,-5.6,-0.39,-0.39,0,0,0,0,0,0
118925,4,450,-5.7,-1.98,0.1,0,0,0,0,0,0
118926,9,1905,-4.6,1.0099999999999998,2.53,0,0,0,0,0,0
